rule_id,stratum,neighborhood,left,center,right,output,active_inputs,asym_sensitive,non_quiescent_output,differs_from_dominant_output
q3g3_s1_00030,S1_random_unbiased,"(2,0,0)",2,0,0,2,1,1,1,1
q3g3_s1_00030,S1_random_unbiased,"(2,0,1)",2,0,1,0,2,1,0,0
q3g3_s1_00030,S1_random_unbiased,"(2,0,2)",2,0,2,2,2,0,1,1
q3g3_s1_00030,S1_random_unbiased,"(2,1,0)",2,1,0,2,2,1,1,1
q3g3_s1_00030,S1_random_unbiased,"(2,1,1)",2,1,1,2,3,1,1,1
q3g3_s1_00030,S1_random_unbiased,"(2,1,2)",2,1,2,0,3,0,0,0
q3g3_s1_00030,S1_random_unbiased,"(2,2,0)",2,2,0,2,2,1,1,1
q3g3_s1_00030,S1_random_unbiased,"(2,2,1)",2,2,1,1,3,1,1,1
q3g3_s1_00030,S1_random_unbiased,"(2,2,2)",2,2,2,2,3,0,1,1
q3g3_s1_00108,S1_random_unbiased,"(0,0,0)",0,0,0,2,0,0,1,0
q3g3_s1_00108,S1_random_unbiased,"(0,0,1)",0,0,1,2,1,1,1,0
q3g3_s1_00108,S1_random_unbiased,"(0,0,2)",0,0,2,0,1,1,0,1
q3g3_s1_00108,S1_random_unbiased,"(0,1,0)",0,1,0,0,1,0,0,1
q3g3_s1_00108,S1_random_unbiased,"(0,1,1)",0,1,1,2,2,1,1,0
q3g3_s1_00108,S1_random_unbiased,"(0,1,2)",0,1,2,0,2,1,0,1
q3g3_s1_00108,S1_random_unbiased,"(0,2,0)",0,2,0,0,1,0,0,1
q3g3_s1_00108,S1_random_unbiased,"(0,2,1)",0,2,1,2,2,1,1,0
q3g3_s1_00108,S1_random_unbiased,"(0,2,2)",0,2,2,1,2,1,1,1
q3g3_s1_00108,S1_random_unbiased,"(1,0,0)",1,0,0,1,1,1,1,1
q3g3_s1_00108,S1_random_unbiased,"(1,0,1)",1,0,1,0,2,0,0,1
q3g3_s1_00108,S1_random_unbiased,"(1,0,2)",1,0,2,0,2,1,0,1
q3g3_s1_00108,S1_random_unbiased,"(1,1,0)",1,1,0,1,2,1,1,1
q3g3_s1_00108,S1_random_unbiased,"(1,1,1)",1,1,1,2,3,0,1,0
q3g3_s1_00108,S1_random_unbiased,"(1,1,2)",1,1,2,1,3,1,1,1
q3g3_s1_00108,S1_random_unbiased,"(1,2,0)",1,2,0,2,2,1,1,0
q3g3_s1_00108,S1_random_unbiased,"(1,2,1)",1,2,1,2,3,0,1,0
q3g3_s1_00108,S1_random_unbiased,"(1,2,2)",1,2,2,0,3,1,0,1
q3g3_s1_00108,S1_random_unbiased,"(2,0,0)",2,0,0,2,1,1,1,0
q3g3_s1_00108,S1_random_unbiased,"(2,0,1)",2,0,1,0,2,1,0,1
q3g3_s1_00108,S1_random_unbiased,"(2,0,2)",2,0,2,2,2,0,1,0
q3g3_s1_00108,S1_random_unbiased,"(2,1,0)",2,1,0,0,2,1,0,1
q3g3_s1_00108,S1_random_unbiased,"(2,1,1)",2,1,1,1,3,1,1,1
q3g3_s1_00108,S1_random_unbiased,"(2,1,2)",2,1,2,2,3,0,1,0
q3g3_s1_00108,S1_random_unbiased,"(2,2,0)",2,2,0,0,2,1,0,1
q3g3_s1_00108,S1_random_unbiased,"(2,2,1)",2,2,1,2,3,1,1,0
q3g3_s1_00108,S1_random_unbiased,"(2,2,2)",2,2,2,0,3,0,0,1
q3g3_s1_00114,S1_random_unbiased,"(0,0,0)",0,0,0,0,0,0,0,1
q3g3_s1_00114,S1_random_unbiased,"(0,0,1)",0,0,1,1,1,1,1,0
q3g3_s1_00114,S1_random_unbiased,"(0,0,2)",0,0,2,2,1,1,1,1
q3g3_s1_00114,S1_random_unbiased,"(0,1,0)",0,1,0,1,1,0,1,0
q3g3_s1_00114,S1_random_unbiased,"(0,1,1)",0,1,1,0,2,1,0,1
q3g3_s1_00114,S1_random_unbiased,"(0,1,2)",0,1,2,1,2,1,1,0
q3g3_s1_00114,S1_random_unbiased,"(0,2,0)",0,2,0,1,1,0,1,0
q3g3_s1_00114,S1_random_unbiased,"(0,2,1)",0,2,1,1,2,1,1,0
q3g3_s1_00114,S1_random_unbiased,"(0,2,2)",0,2,2,1,2,1,1,0
q3g3_s1_00114,S1_random_unbiased,"(1,0,0)",1,0,0,0,1,1,0,1
q3g3_s1_00114,S1_random_unbiased,"(1,0,1)",1,0,1,1,2,0,1,0
q3g3_s1_00114,S1_random_unbiased,"(1,0,2)",1,0,2,1,2,1,1,0
q3g3_s1_00114,S1_random_unbiased,"(1,1,0)",1,1,0,2,2,1,1,1
q3g3_s1_00114,S1_random_unbiased,"(1,1,1)",1,1,1,2,3,0,1,1
q3g3_s1_00114,S1_random_unbiased,"(1,1,2)",1,1,2,2,3,1,1,1
q3g3_s1_00114,S1_random_unbiased,"(1,2,0)",1,2,0,2,2,1,1,1
q3g3_s1_00114,S1_random_unbiased,"(1,2,1)",1,2,1,0,3,0,0,1
q3g3_s1_00114,S1_random_unbiased,"(1,2,2)",1,2,2,1,3,1,1,0
q3g3_s1_00114,S1_random_unbiased,"(2,0,0)",2,0,0,0,1,1,0,1
q3g3_s1_00114,S1_random_unbiased,"(2,0,1)",2,0,1,0,2,1,0,1
q3g3_s1_00114,S1_random_unbiased,"(2,0,2)",2,0,2,2,2,0,1,1
q3g3_s1_00114,S1_random_unbiased,"(2,1,0)",2,1,0,1,2,1,1,0
q3g3_s1_00114,S1_random_unbiased,"(2,1,1)",2,1,1,0,3,1,0,1
q3g3_s1_00114,S1_random_unbiased,"(2,1,2)",2,1,2,2,3,0,1,1
q3g3_s1_00114,S1_random_unbiased,"(2,2,0)",2,2,0,2,2,1,1,1
q3g3_s1_00114,S1_random_unbiased,"(2,2,1)",2,2,1,1,3,1,1,0
q3g3_s1_00114,S1_random_unbiased,"(2,2,2)",2,2,2,0,3,0,0,1
q3g3_s1_00122,S1_random_unbiased,"(0,0,0)",0,0,0,2,0,0,1,1
q3g3_s1_00122,S1_random_unbiased,"(0,0,1)",0,0,1,1,1,1,1,0
q3g3_s1_00122,S1_random_unbiased,"(0,0,2)",0,0,2,1,1,1,1,0
q3g3_s1_00122,S1_random_unbiased,"(0,1,0)",0,1,0,0,1,0,0,1
q3g3_s1_00122,S1_random_unbiased,"(0,1,1)",0,1,1,0,2,1,0,1
q3g3_s1_00122,S1_random_unbiased,"(0,1,2)",0,1,2,2,2,1,1,1
q3g3_s1_00122,S1_random_unbiased,"(0,2,0)",0,2,0,2,1,0,1,1
q3g3_s1_00122,S1_random_unbiased,"(0,2,1)",0,2,1,1,2,1,1,0
q3g3_s1_00122,S1_random_unbiased,"(0,2,2)",0,2,2,1,2,1,1,0
q3g3_s1_00122,S1_random_unbiased,"(1,0,0)",1,0,0,0,1,1,0,1
q3g3_s1_00122,S1_random_unbiased,"(1,0,1)",1,0,1,1,2,0,1,0
q3g3_s1_00122,S1_random_unbiased,"(1,0,2)",1,0,2,0,2,1,0,1
q3g3_s1_00122,S1_random_unbiased,"(1,1,0)",1,1,0,0,2,1,0,1
q3g3_s1_00122,S1_random_unbiased,"(1,1,1)",1,1,1,0,3,0,0,1
q3g3_s1_00122,S1_random_unbiased,"(1,1,2)",1,1,2,0,3,1,0,1
q3g3_s1_00122,S1_random_unbiased,"(1,2,0)",1,2,0,2,2,1,1,1
q3g3_s1_00122,S1_random_unbiased,"(1,2,1)",1,2,1,1,3,0,1,0
q3g3_s1_00122,S1_random_unbiased,"(1,2,2)",1,2,2,2,3,1,1,1
q3g3_s1_00122,S1_random_unbiased,"(2,0,0)",2,0,0,0,1,1,0,1
q3g3_s1_00122,S1_random_unbiased,"(2,0,1)",2,0,1,1,2,1,1,0
q3g3_s1_00122,S1_random_unbiased,"(2,0,2)",2,0,2,2,2,0,1,1
q3g3_s1_00122,S1_random_unbiased,"(2,1,0)",2,1,0,1,2,1,1,0
q3g3_s1_00122,S1_random_unbiased,"(2,1,1)",2,1,1,1,3,1,1,0
q3g3_s1_00122,S1_random_unbiased,"(2,1,2)",2,1,2,1,3,0,1,0
q3g3_s1_00122,S1_random_unbiased,"(2,2,0)",2,2,0,1,2,1,1,0
q3g3_s1_00122,S1_random_unbiased,"(2,2,1)",2,2,1,0,3,1,0,1
q3g3_s1_00122,S1_random_unbiased,"(2,2,2)",2,2,2,2,3,0,1,1
q3g3_s1_00216,S1_random_unbiased,"(0,0,0)",0,0,0,1,0,0,1,0
q3g3_s1_00216,S1_random_unbiased,"(0,0,1)",0,0,1,0,1,1,0,1
q3g3_s1_00216,S1_random_unbiased,"(0,0,2)",0,0,2,1,1,1,1,0
q3g3_s1_00216,S1_random_unbiased,"(0,1,0)",0,1,0,0,1,0,0,1
q3g3_s1_00216,S1_random_unbiased,"(0,1,1)",0,1,1,1,2,1,1,0
q3g3_s1_00216,S1_random_unbiased,"(0,1,2)",0,1,2,1,2,1,1,0
q3g3_s1_00216,S1_random_unbiased,"(0,2,0)",0,2,0,2,1,0,1,1
q3g3_s1_00216,S1_random_unbiased,"(0,2,1)",0,2,1,0,2,1,0,1
q3g3_s1_00216,S1_random_unbiased,"(0,2,2)",0,2,2,1,2,1,1,0
q3g3_s1_00216,S1_random_unbiased,"(1,0,0)",1,0,0,1,1,1,1,0
q3g3_s1_00216,S1_random_unbiased,"(1,0,1)",1,0,1,1,2,0,1,0
q3g3_s1_00216,S1_random_unbiased,"(1,0,2)",1,0,2,2,2,1,1,1
q3g3_s1_00216,S1_random_unbiased,"(1,1,0)",1,1,0,1,2,1,1,0
q3g3_s1_00216,S1_random_unbiased,"(1,1,1)",1,1,1,2,3,0,1,1
q3g3_s1_00216,S1_random_unbiased,"(1,1,2)",1,1,2,2,3,1,1,1
q3g3_s1_00216,S1_random_unbiased,"(1,2,0)",1,2,0,0,2,1,0,1
q3g3_s1_00216,S1_random_unbiased,"(1,2,1)",1,2,1,2,3,0,1,1
q3g3_s1_00216,S1_random_unbiased,"(1,2,2)",1,2,2,2,3,1,1,1
q3g3_s1_00216,S1_random_unbiased,"(2,0,0)",2,0,0,0,1,1,0,1
q3g3_s1_00216,S1_random_unbiased,"(2,0,1)",2,0,1,1,2,1,1,0
q3g3_s1_00216,S1_random_unbiased,"(2,0,2)",2,0,2,1,2,0,1,0
q3g3_s1_00216,S1_random_unbiased,"(2,1,0)",2,1,0,2,2,1,1,1
q3g3_s1_00216,S1_random_unbiased,"(2,1,1)",2,1,1,2,3,1,1,1
q3g3_s1_00216,S1_random_unbiased,"(2,1,2)",2,1,2,2,3,0,1,1
q3g3_s1_00216,S1_random_unbiased,"(2,2,0)",2,2,0,1,2,1,1,0
q3g3_s1_00216,S1_random_unbiased,"(2,2,1)",2,2,1,2,3,1,1,1
q3g3_s1_00216,S1_random_unbiased,"(2,2,2)",2,2,2,0,3,0,0,1
q3g3_s2_00001,S2_quiescent_preserving,"(0,0,0)",0,0,0,0,0,0,0,1
q3g3_s2_00001,S2_quiescent_preserving,"(0,0,1)",0,0,1,2,1,1,1,1
q3g3_s2_00001,S2_quiescent_preserving,"(0,0,2)",0,0,2,2,1,1,1,1
q3g3_s2_00001,S2_quiescent_preserving,"(0,1,0)",0,1,0,0,1,0,0,1
q3g3_s2_00001,S2_quiescent_preserving,"(0,1,1)",0,1,1,1,2,1,1,0
q3g3_s2_00001,S2_quiescent_preserving,"(0,1,2)",0,1,2,1,2,1,1,0
q3g3_s2_00001,S2_quiescent_preserving,"(0,2,0)",0,2,0,1,1,0,1,0
q3g3_s2_00001,S2_quiescent_preserving,"(0,2,1)",0,2,1,2,2,1,1,1
q3g3_s2_00001,S2_quiescent_preserving,"(0,2,2)",0,2,2,1,2,1,1,0
q3g3_s2_00001,S2_quiescent_preserving,"(1,0,0)",1,0,0,0,1,1,0,1
q3g3_s2_00001,S2_quiescent_preserving,"(1,0,1)",1,0,1,1,2,0,1,0
q3g3_s2_00001,S2_quiescent_preserving,"(1,0,2)",1,0,2,2,2,1,1,1
q3g3_s2_00001,S2_quiescent_preserving,"(1,1,0)",1,1,0,1,2,1,1,0
q3g3_s2_00001,S2_quiescent_preserving,"(1,1,1)",1,1,1,1,3,0,1,0
q3g3_s2_00001,S2_quiescent_preserving,"(1,1,2)",1,1,2,0,3,1,0,1
q3g3_s2_00001,S2_quiescent_preserving,"(1,2,0)",1,2,0,0,2,1,0,1
q3g3_s2_00001,S2_quiescent_preserving,"(1,2,1)",1,2,1,0,3,0,0,1
q3g3_s2_00001,S2_quiescent_preserving,"(1,2,2)",1,2,2,2,3,1,1,1
q3g3_s2_00001,S2_quiescent_preserving,"(2,0,0)",2,0,0,0,1,1,0,1
q3g3_s2_00001,S2_quiescent_preserving,"(2,0,1)",2,0,1,0,2,1,0,1
q3g3_s2_00001,S2_quiescent_preserving,"(2,0,2)",2,0,2,2,2,0,1,1
q3g3_s2_00001,S2_quiescent_preserving,"(2,1,0)",2,1,0,1,2,1,1,0
q3g3_s2_00001,S2_quiescent_preserving,"(2,1,1)",2,1,1,1,3,1,1,0
q3g3_s2_00001,S2_quiescent_preserving,"(2,1,2)",2,1,2,2,3,0,1,1
q3g3_s2_00001,S2_quiescent_preserving,"(2,2,0)",2,2,0,0,2,1,0,1
q3g3_s2_00001,S2_quiescent_preserving,"(2,2,1)",2,2,1,1,3,1,1,0
q3g3_s2_00001,S2_quiescent_preserving,"(2,2,2)",2,2,2,2,3,0,1,1
q3g3_s2_00007,S2_quiescent_preserving,"(0,0,0)",0,0,0,0,0,0,0,1
q3g3_s2_00007,S2_quiescent_preserving,"(0,0,1)",0,0,1,2,1,1,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(0,0,2)",0,0,2,0,1,1,0,1
q3g3_s2_00007,S2_quiescent_preserving,"(0,1,0)",0,1,0,2,1,0,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(0,1,1)",0,1,1,0,2,1,0,1
q3g3_s2_00007,S2_quiescent_preserving,"(0,1,2)",0,1,2,2,2,1,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(0,2,0)",0,2,0,0,1,0,0,1
q3g3_s2_00007,S2_quiescent_preserving,"(0,2,1)",0,2,1,0,2,1,0,1
q3g3_s2_00007,S2_quiescent_preserving,"(0,2,2)",0,2,2,1,2,1,1,1
q3g3_s2_00007,S2_quiescent_preserving,"(1,0,0)",1,0,0,1,1,1,1,1
q3g3_s2_00007,S2_quiescent_preserving,"(1,0,1)",1,0,1,2,2,0,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(1,0,2)",1,0,2,2,2,1,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(1,1,0)",1,1,0,1,2,1,1,1
q3g3_s2_00007,S2_quiescent_preserving,"(1,1,1)",1,1,1,2,3,0,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(1,1,2)",1,1,2,0,3,1,0,1
q3g3_s2_00007,S2_quiescent_preserving,"(1,2,0)",1,2,0,1,2,1,1,1
q3g3_s2_00007,S2_quiescent_preserving,"(1,2,1)",1,2,1,1,3,0,1,1
q3g3_s2_00007,S2_quiescent_preserving,"(1,2,2)",1,2,2,2,3,1,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(2,0,0)",2,0,0,2,1,1,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(2,0,1)",2,0,1,2,2,1,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(2,0,2)",2,0,2,0,2,0,0,1
q3g3_s2_00007,S2_quiescent_preserving,"(2,1,0)",2,1,0,2,2,1,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(2,1,1)",2,1,1,2,3,1,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(2,1,2)",2,1,2,2,3,0,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(2,2,0)",2,2,0,2,2,1,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(2,2,1)",2,2,1,2,3,1,1,0
q3g3_s2_00007,S2_quiescent_preserving,"(2,2,2)",2,2,2,1,3,0,1,1
q3g3_s2_00078,S2_quiescent_preserving,"(0,0,0)",0,0,0,0,0,0,0,1
q3g3_s2_00078,S2_quiescent_preserving,"(0,0,1)",0,0,1,2,1,1,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(0,0,2)",0,0,2,2,1,1,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(0,1,0)",0,1,0,1,1,0,1,1
q3g3_s2_00078,S2_quiescent_preserving,"(0,1,1)",0,1,1,2,2,1,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(0,1,2)",0,1,2,2,2,1,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(0,2,0)",0,2,0,2,1,0,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(0,2,1)",0,2,1,1,2,1,1,1
q3g3_s2_00078,S2_quiescent_preserving,"(0,2,2)",0,2,2,0,2,1,0,1
q3g3_s2_00078,S2_quiescent_preserving,"(1,0,0)",1,0,0,1,1,1,1,1
q3g3_s2_00078,S2_quiescent_preserving,"(1,0,1)",1,0,1,1,2,0,1,1
q3g3_s2_00078,S2_quiescent_preserving,"(1,0,2)",1,0,2,2,2,1,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(1,1,0)",1,1,0,0,2,1,0,1
q3g3_s2_00078,S2_quiescent_preserving,"(1,1,1)",1,1,1,0,3,0,0,1
q3g3_s2_00078,S2_quiescent_preserving,"(1,1,2)",1,1,2,2,3,1,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(1,2,0)",1,2,0,0,2,1,0,1
q3g3_s2_00078,S2_quiescent_preserving,"(1,2,1)",1,2,1,1,3,0,1,1
q3g3_s2_00078,S2_quiescent_preserving,"(1,2,2)",1,2,2,0,3,1,0,1
q3g3_s2_00078,S2_quiescent_preserving,"(2,0,0)",2,0,0,2,1,1,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(2,0,1)",2,0,1,2,2,1,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(2,0,2)",2,0,2,2,2,0,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(2,1,0)",2,1,0,2,2,1,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(2,1,1)",2,1,1,1,3,1,1,1
q3g3_s2_00078,S2_quiescent_preserving,"(2,1,2)",2,1,2,2,3,0,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(2,2,0)",2,2,0,2,2,1,1,0
q3g3_s2_00078,S2_quiescent_preserving,"(2,2,1)",2,2,1,0,3,1,0,1
q3g3_s2_00078,S2_quiescent_preserving,"(2,2,2)",2,2,2,0,3,0,0,1
q3g3_s2_00096,S2_quiescent_preserving,"(0,0,1)",0,0,1,2,1,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(0,0,2)",0,0,2,1,1,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(0,1,0)",0,1,0,1,1,0,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(0,1,1)",0,1,1,2,2,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(0,1,2)",0,1,2,2,2,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(0,2,1)",0,2,1,0,2,1,0,0
q3g3_s2_00096,S2_quiescent_preserving,"(0,2,2)",0,2,2,1,2,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(1,0,0)",1,0,0,1,1,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(1,0,1)",1,0,1,1,2,0,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(1,0,2)",1,0,2,1,2,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(1,1,0)",1,1,0,1,2,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(1,1,1)",1,1,1,2,3,0,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(1,1,2)",1,1,2,2,3,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(1,2,0)",1,2,0,1,2,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(1,2,1)",1,2,1,0,3,0,0,0
q3g3_s2_00096,S2_quiescent_preserving,"(1,2,2)",1,2,2,1,3,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(2,0,1)",2,0,1,0,2,1,0,0
q3g3_s2_00096,S2_quiescent_preserving,"(2,0,2)",2,0,2,2,2,0,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(2,1,0)",2,1,0,0,2,1,0,0
q3g3_s2_00096,S2_quiescent_preserving,"(2,1,1)",2,1,1,0,3,1,0,0
q3g3_s2_00096,S2_quiescent_preserving,"(2,1,2)",2,1,2,2,3,0,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(2,2,0)",2,2,0,2,2,1,1,1
q3g3_s2_00096,S2_quiescent_preserving,"(2,2,1)",2,2,1,0,3,1,0,0
q3g3_s2_00096,S2_quiescent_preserving,"(2,2,2)",2,2,2,2,3,0,1,1
q3g3_s2_00198,S2_quiescent_preserving,"(0,0,0)",0,0,0,0,0,0,0,1
q3g3_s2_00198,S2_quiescent_preserving,"(0,0,1)",0,0,1,1,1,1,1,1
q3g3_s2_00198,S2_quiescent_preserving,"(0,0,2)",0,0,2,2,1,1,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(0,1,0)",0,1,0,2,1,0,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(0,1,1)",0,1,1,1,2,1,1,1
q3g3_s2_00198,S2_quiescent_preserving,"(0,1,2)",0,1,2,0,2,1,0,1
q3g3_s2_00198,S2_quiescent_preserving,"(0,2,0)",0,2,0,2,1,0,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(0,2,1)",0,2,1,1,2,1,1,1
q3g3_s2_00198,S2_quiescent_preserving,"(0,2,2)",0,2,2,2,2,1,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(1,0,0)",1,0,0,1,1,1,1,1
q3g3_s2_00198,S2_quiescent_preserving,"(1,0,1)",1,0,1,2,2,0,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(1,0,2)",1,0,2,0,2,1,0,1
q3g3_s2_00198,S2_quiescent_preserving,"(1,1,0)",1,1,0,1,2,1,1,1
q3g3_s2_00198,S2_quiescent_preserving,"(1,1,1)",1,1,1,1,3,0,1,1
q3g3_s2_00198,S2_quiescent_preserving,"(1,1,2)",1,1,2,0,3,1,0,1
q3g3_s2_00198,S2_quiescent_preserving,"(1,2,0)",1,2,0,2,2,1,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(1,2,1)",1,2,1,1,3,0,1,1
q3g3_s2_00198,S2_quiescent_preserving,"(1,2,2)",1,2,2,2,3,1,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(2,0,0)",2,0,0,2,1,1,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(2,0,1)",2,0,1,2,2,1,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(2,0,2)",2,0,2,2,2,0,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(2,1,0)",2,1,0,2,2,1,1,0
q3g3_s2_00198,S2_quiescent_preserving,"(2,1,1)",2,1,1,0,3,1,0,1
q3g3_s2_00198,S2_quiescent_preserving,"(2,1,2)",2,1,2,0,3,0,0,1
q3g3_s2_00198,S2_quiescent_preserving,"(2,2,0)",2,2,0,0,2,1,0,1
q3g3_s2_00198,S2_quiescent_preserving,"(2,2,1)",2,2,1,1,3,1,1,1
q3g3_s2_00198,S2_quiescent_preserving,"(2,2,2)",2,2,2,0,3,0,0,1
q3g3_s2_00220,S2_quiescent_preserving,"(0,0,0)",0,0,0,0,0,0,0,1
q3g3_s2_00220,S2_quiescent_preserving,"(0,0,1)",0,0,1,1,1,1,1,1
q3g3_s2_00220,S2_quiescent_preserving,"(0,0,2)",0,0,2,2,1,1,1,0
