rule_id,composition_adjusted_delta,composition_emission_only_flag,dominant_interaction_outcome,reclassification
q3g3_s6_00364,-0.5,True,emission,self_persistence_fakeout
q3g3_s7_00001,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00003,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00004,0.0,False,collapse,symmetric_fakeout
q3g3_s7_00005,0.0,True,emission,symmetric_fakeout
q3g3_s7_00006,0.0,False,emission,symmetric_fakeout
q3g3_s7_00008,0.0,True,emission,symmetric_fakeout
q3g3_s7_00010,0.0,False,emission,symmetric_fakeout
q3g3_s7_00011,0.0,True,emission,symmetric_fakeout
q3g3_s7_00013,0.0,True,emission,symmetric_fakeout
q3g3_s7_00014,0.0,True,emission,symmetric_fakeout
q3g3_s7_00015,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00016,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00017,-0.5,False,chaotic_explosion,symmetric_fakeout
q3g3_s7_00018,0.0,False,pass_through,symmetric_fakeout
q3g3_s7_00019,0.0,True,emission,symmetric_fakeout
q3g3_s7_00024,0.0,False,pass_through,symmetric_fakeout
q3g3_s7_00025,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00026,0.0,True,emission,symmetric_fakeout
q3g3_s7_00027,0.0,True,emission,symmetric_fakeout
q3g3_s7_00028,0.0,True,emission,symmetric_fakeout
q3g3_s7_00030,0.0,True,emission,symmetric_fakeout
q3g3_s7_00032,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00033,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00034,0.0,True,emission,symmetric_fakeout
q3g3_s7_00036,0.0,True,emission,symmetric_fakeout
q3g3_s7_00039,0.0,False,emission,symmetric_fakeout
q3g3_s7_00040,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00041,0.0,False,collapse,symmetric_fakeout
q3g3_s7_00043,-0.5,False,collapse,symmetric_fakeout
q3g3_s7_00044,0.0,False,collapse,symmetric_fakeout
q3g3_s7_00045,0.0,False,pass_through,symmetric_fakeout
q3g3_s7_00048,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00049,-0.5,False,collapse,symmetric_fakeout
q3g3_s7_00052,0.0,False,pass_through,symmetric_fakeout
q3g3_s7_00054,0.0,True,emission,symmetric_fakeout
q3g3_s7_00056,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00059,0.0,True,emission,symmetric_fakeout
q3g3_s7_00060,0.0,False,pass_through,symmetric_fakeout
q3g3_s7_00061,0.0,True,emission,symmetric_fakeout
q3g3_s7_00062,0.0,False,pass_through,symmetric_fakeout
q3g3_s7_00064,0.0,False,pass_through,symmetric_fakeout
q3g3_s7_00065,0.0,True,emission,symmetric_fakeout
q3g3_s7_00066,-0.5,False,collapse,symmetric_fakeout
q3g3_s7_00067,0.0,False,emission,symmetric_fakeout
q3g3_s7_00068,0.0,False,chaotic_explosion,symmetric_fakeout
q3g3_s7_00069,0.0,False,pass_through,symmetric_fakeout
q3g3_s7_00071,0.0,False,chaotic_explosion,symmetric_fakeout
q3g3_s7_00072,0.0,False,collapse,symmetric_fakeout
q3g3_s7_00073,0.0,True,emission,symmetric_fakeout
q3g3_s7_00074,0.0,True,emission,symmetric_fakeout
q3g3_s7_00075,0.0,True,emission,symmetric_fakeout
q3g3_s7_00076,0.0,False,chaotic_explosion,symmetric_fakeout
q3g3_s7_00078,-0.5,False,chaotic_explosion,symmetric_fakeout
q3g3_s7_00079,0.0,True,emission,symmetric_fakeout
q3g3_s7_00082,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00083,-0.16666666666666666,True,emission,symmetric_fakeout
q3g3_s7_00084,0.0,False,collapse,symmetric_fakeout
q3g3_s7_00086,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00087,-0.5,False,chaotic_explosion,symmetric_fakeout
q3g3_s7_00088,-0.5,False,collapse,symmetric_fakeout
q3g3_s7_00089,0.0,False,collapse,symmetric_fakeout
q3g3_s7_00091,0.0,False,collapse,symmetric_fakeout
q3g3_s7_00092,0.0,False,emission,symmetric_fakeout
q3g3_s7_00093,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00094,0.0,True,emission,symmetric_fakeout
q3g3_s7_00098,0.0,False,chaotic_explosion,symmetric_fakeout
q3g3_s7_00099,0.0,True,emission,symmetric_fakeout
q3g3_s7_00100,0.0,True,emission,symmetric_fakeout
q3g3_s7_00101,0.0,True,emission,symmetric_fakeout
q3g3_s7_00104,0.0,True,emission,symmetric_fakeout
q3g3_s7_00106,0.0,True,emission,symmetric_fakeout
q3g3_s7_00107,0.0,True,emission,symmetric_fakeout
q3g3_s7_00110,-0.5,False,collapse,symmetric_fakeout
q3g3_s7_00112,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00113,0.0,False,pass_through,symmetric_fakeout
q3g3_s7_00114,-0.5,True,emission,symmetric_fakeout
q3g3_s7_00115,0.0,True,emission,symmetric_fakeout
q3g3_s7_00116,0.0,False,emission,symmetric_fakeout
q3g3_s7_00121,0.0,False,emission,symmetric_fakeout
q3g3_s7_00123,0.0,False,collapse,symmetric_fakeout
q3g3_s7_00124,0.0,False,collapse,symmetric_fakeout
q3g3_s8_00004,1.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00012,0.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00018,0.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00036,0.0,False,new_motif,self_persistence_fakeout
q3g3_s8_00044,0.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00048,1.0,False,emission,self_persistence_fakeout
q3g3_s8_00060,0.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00063,1.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00070,1.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00077,1.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00084,0.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00086,1.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00090,0.3333333333333333,False,chaotic_explosion,self_persistence_fakeout
q3g3_s8_00099,0.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00102,1.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00103,0.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00111,0.0,False,pass_through,self_persistence_fakeout
q3g3_s8_00113,1.0,False,new_motif,self_persistence_fakeout
q3r1_s1_0002,1.0,False,new_motif,control_adjusted_positive
q3r1_s2_0046,-0.5,True,emission,emission_only
q3r1_s3_0020,0.0,True,emission,emission_only
q3r1_s4_0014,0.0,False,chaotic_explosion,generic_persistence
q3r1_s5_0016,0.0,True,emission,generic_persistence
q3r1_s7_0002,0.0,False,chaotic_explosion,output_distribution_fakeout
