rule_id,stratum,target_role,reclassification
q3g3_s5_00233,S5_asymmetric_neighbor_dependent,candidate,output_distribution_fakeout
q3g3_s5_00244,S5_asymmetric_neighbor_dependent,candidate,emission_only
q3g3_s5_00264,S5_asymmetric_neighbor_dependent,candidate,emission_only
q3g3_s5_00286,S5_asymmetric_neighbor_dependent,candidate,symmetric_fakeout
q3g3_s5_00296,S5_asymmetric_neighbor_dependent,candidate,output_distribution_fakeout
q3g3_s5_00334,S5_asymmetric_neighbor_dependent,candidate,output_distribution_fakeout
q3g3_s5_00343,S5_asymmetric_neighbor_dependent,candidate,output_distribution_fakeout
q3g3_s5_00351,S5_asymmetric_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s6_00058,S6_relation_rich_nonchaotic_bias,candidate,self_persistence_fakeout
q3g3_s6_00123,S6_relation_rich_nonchaotic_bias,candidate,self_persistence_fakeout
q3g3_s6_00140,S6_relation_rich_nonchaotic_bias,candidate,output_distribution_fakeout
q3g3_s6_00149,S6_relation_rich_nonchaotic_bias,candidate,self_persistence_fakeout
q3g3_s6_00302,S6_relation_rich_nonchaotic_bias,candidate,generic_persistence
q3g3_s6_00313,S6_relation_rich_nonchaotic_bias,candidate,output_distribution_fakeout
q3g3_s6_00356,S6_relation_rich_nonchaotic_bias,candidate,generic_persistence
q3g3_s6_00364,S6_relation_rich_nonchaotic_bias,candidate,self_persistence_fakeout
q3g3_s7_00001,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00003,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00004,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00005,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00006,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00008,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00010,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00011,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00013,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00014,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00015,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00016,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00017,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00018,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00019,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00024,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00025,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00026,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00027,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00028,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00030,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00032,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00033,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00034,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00036,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00039,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00040,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00041,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00043,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00044,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00045,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00048,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00049,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00052,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00054,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00056,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00059,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00060,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00061,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00062,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00064,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00065,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00066,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00067,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00068,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00069,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00071,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00072,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00073,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00074,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00075,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00076,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00078,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00079,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00082,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00083,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00084,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00086,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00087,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00088,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00089,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00091,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00092,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00093,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00094,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00098,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00099,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00100,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00101,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00104,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00106,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00107,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00110,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00112,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00113,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00114,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00115,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00116,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00121,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00123,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s7_00124,S7_symmetric_control,leaked_control,symmetric_fakeout
q3g3_s8_00004,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00012,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00018,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00036,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00044,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00048,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00060,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00063,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00070,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00077,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00084,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00086,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00090,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00099,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00102,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00103,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00111,S8_self_only_control,leaked_control,self_persistence_fakeout
q3g3_s8_00113,S8_self_only_control,leaked_control,self_persistence_fakeout
q3r1_s1_0002,S1_random_unbiased,anchor,control_adjusted_positive
q3r1_s2_0046,S2_quiescent_preserving,anchor,emission_only
q3r1_s3_0020,S3_sparse_active_preserving,anchor,emission_only
q3r1_s4_0014,S4_neighbor_dependent,anchor,generic_persistence
q3r1_s5_0016,S5_asymmetric_neighbor_dependent,anchor,generic_persistence
q3r1_s7_0002,S7_symmetric_control,anchor,output_distribution_fakeout
