rule_id,stratum,motif_family,mechanism_label_g4,reclassification
q3g3_s2_00001,S2_quiescent_preserving,composition_without_validation,interaction_product,generic_persistence
q3g3_s2_00007,S2_quiescent_preserving,composition_without_validation,travelling_identity,symmetric_fakeout
q3g3_s2_00009,S2_quiescent_preserving,fragile_or_inconclusive,emitter,generic_persistence
q3g3_s2_00014,S2_quiescent_preserving,local_phase_or_self_fakeout,travelling_identity,self_persistence_fakeout
q3g3_s2_00025,S2_quiescent_preserving,local_phase_or_self_fakeout,domain_wall,symmetric_fakeout
q3g3_s2_00027,S2_quiescent_preserving,near_validation_pra,emitter,emission_only
q3g3_s2_00028,S2_quiescent_preserving,regular_life_like_discovery,emitter,self_persistence_fakeout
q3g3_s2_00032,S2_quiescent_preserving,local_phase_or_self_fakeout,emitter,generic_persistence
q3g3_s2_00042,S2_quiescent_preserving,regular_life_like_discovery,emitter,self_persistence_fakeout
q3g3_s2_00075,S2_quiescent_preserving,fragile_or_inconclusive,emitter,generic_persistence
q3g3_s2_00078,S2_quiescent_preserving,near_validation_pra,emitter,emission_only
q3g3_s2_00096,S2_quiescent_preserving,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s2_00161,S2_quiescent_preserving,symmetric_control_fakeout,emitter,symmetric_fakeout
q3g3_s2_00165,S2_quiescent_preserving,local_phase_or_self_fakeout,travelling_identity,output_distribution_fakeout
q3g3_s2_00167,S2_quiescent_preserving,near_validation_pra,emitter,emission_only
q3g3_s2_00173,S2_quiescent_preserving,regular_life_like_discovery,emitter,self_persistence_fakeout
q3g3_s2_00177,S2_quiescent_preserving,regular_life_like_discovery,emitter,symmetric_fakeout
q3g3_s2_00186,S2_quiescent_preserving,fragile_or_inconclusive,emitter,generic_persistence
q3g3_s2_00198,S2_quiescent_preserving,near_validation_pra,emitter,emission_only
q3g3_s2_00220,S2_quiescent_preserving,composition_without_validation,emitter,output_distribution_fakeout
q3g3_s3_00030,S3_sparse_active_preserving,fragile_or_inconclusive,emitter,generic_persistence
q3g3_s3_00036,S3_sparse_active_preserving,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s3_00043,S3_sparse_active_preserving,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s3_00056,S3_sparse_active_preserving,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s3_00060,S3_sparse_active_preserving,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s3_00073,S3_sparse_active_preserving,regular_life_like_discovery,travelling_identity,output_distribution_fakeout
q3g3_s3_00075,S3_sparse_active_preserving,near_validation_pra,emitter,emission_only
q3g3_s3_00084,S3_sparse_active_preserving,fragile_or_inconclusive,emitter,generic_persistence
q3g3_s3_00085,S3_sparse_active_preserving,regular_life_like_discovery,travelling_identity,self_persistence_fakeout
q3g3_s3_00090,S3_sparse_active_preserving,near_validation_pra,emitter,emission_only
q3g3_s3_00096,S3_sparse_active_preserving,fragile_or_inconclusive,travelling_identity,generic_persistence
q3g3_s3_00181,S3_sparse_active_preserving,validation_new_motif_overlap,interaction_product,control_adjusted_positive
q3g3_s3_00193,S3_sparse_active_preserving,near_validation_pra,emitter,emission_only
q3g3_s3_00213,S3_sparse_active_preserving,fragile_or_inconclusive,emitter,generic_persistence
q3g3_s3_00214,S3_sparse_active_preserving,regular_life_like_discovery,travelling_identity,self_persistence_fakeout
q3g3_s3_00223,S3_sparse_active_preserving,regular_life_like_discovery,emitter,symmetric_fakeout
q3g3_s3_00226,S3_sparse_active_preserving,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s3_00229,S3_sparse_active_preserving,regular_life_like_discovery,emitter,output_distribution_fakeout
q3g3_s3_00244,S3_sparse_active_preserving,fragile_or_inconclusive,emitter,generic_persistence
q3g3_s3_00249,S3_sparse_active_preserving,regular_life_like_discovery,emitter,symmetric_fakeout
q3g3_s4_00004,S4_neighbor_dependent,composition_without_validation,emitter,generic_persistence
q3g3_s4_00017,S4_neighbor_dependent,validation_strong_persistence,travelling_identity,control_adjusted_positive
q3g3_s4_00024,S4_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s4_00040,S4_neighbor_dependent,validation_weak_persistence,domain_wall,control_adjusted_positive
q3g3_s4_00043,S4_neighbor_dependent,local_phase_or_self_fakeout,emitter,generic_persistence
q3g3_s4_00050,S4_neighbor_dependent,symmetric_control_fakeout,emitter,symmetric_fakeout
q3g3_s4_00054,S4_neighbor_dependent,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s4_00058,S4_neighbor_dependent,local_phase_or_self_fakeout,travelling_identity,symmetric_fakeout
q3g3_s4_00068,S4_neighbor_dependent,validation_weak_persistence,travelling_identity,control_adjusted_positive
q3g3_s4_00069,S4_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s4_00081,S4_neighbor_dependent,fragile_or_inconclusive,travelling_identity,output_distribution_fakeout
q3g3_s4_00100,S4_neighbor_dependent,fragile_or_inconclusive,travelling_identity,output_distribution_fakeout
q3g3_s4_00104,S4_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s4_00127,S4_neighbor_dependent,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s4_00147,S4_neighbor_dependent,validation_composition_overlap,travelling_identity,control_adjusted_positive
q3g3_s4_00148,S4_neighbor_dependent,local_phase_or_self_fakeout,travelling_identity,self_persistence_fakeout
q3g3_s4_00153,S4_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s4_00158,S4_neighbor_dependent,regular_life_like_discovery,emitter,self_persistence_fakeout
q3g3_s4_00162,S4_neighbor_dependent,local_phase_or_self_fakeout,travelling_identity,self_persistence_fakeout
q3g3_s4_00182,S4_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s4_00210,S4_neighbor_dependent,fragile_or_inconclusive,emitter,generic_persistence
q3g3_s4_00223,S4_neighbor_dependent,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s4_00224,S4_neighbor_dependent,regular_life_like_discovery,emitter,output_distribution_fakeout
q3g3_s4_00232,S4_neighbor_dependent,chaotic_discovery,emitter,generic_persistence
q3g3_s4_00239,S4_neighbor_dependent,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s5_00015,S5_asymmetric_neighbor_dependent,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s5_00020,S5_asymmetric_neighbor_dependent,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s5_00060,S5_asymmetric_neighbor_dependent,fragile_or_inconclusive,travelling_identity,generic_persistence
q3g3_s5_00065,S5_asymmetric_neighbor_dependent,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s5_00075,S5_asymmetric_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s5_00078,S5_asymmetric_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s5_00090,S5_asymmetric_neighbor_dependent,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s5_00114,S5_asymmetric_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s5_00115,S5_asymmetric_neighbor_dependent,regular_life_like_discovery,emitter,self_persistence_fakeout
q3g3_s5_00126,S5_asymmetric_neighbor_dependent,composition_without_validation,travelling_identity,generic_persistence
q3g3_s5_00143,S5_asymmetric_neighbor_dependent,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s5_00176,S5_asymmetric_neighbor_dependent,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s5_00183,S5_asymmetric_neighbor_dependent,composition_without_validation,emitter,output_distribution_fakeout
q3g3_s5_00199,S5_asymmetric_neighbor_dependent,regular_life_like_discovery,emitter,self_persistence_fakeout
q3g3_s5_00204,S5_asymmetric_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s5_00214,S5_asymmetric_neighbor_dependent,composition_without_validation,travelling_identity,self_persistence_fakeout
q3g3_s5_00221,S5_asymmetric_neighbor_dependent,local_phase_or_self_fakeout,emitter,generic_persistence
q3g3_s5_00233,S5_asymmetric_neighbor_dependent,fragile_or_inconclusive,emitter,output_distribution_fakeout
q3g3_s5_00244,S5_asymmetric_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s5_00264,S5_asymmetric_neighbor_dependent,near_validation_pra,emitter,emission_only
q3g3_s5_00286,S5_asymmetric_neighbor_dependent,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s5_00296,S5_asymmetric_neighbor_dependent,composition_without_validation,emitter,output_distribution_fakeout
q3g3_s5_00334,S5_asymmetric_neighbor_dependent,regular_life_like_discovery,emitter,output_distribution_fakeout
q3g3_s5_00343,S5_asymmetric_neighbor_dependent,composition_without_validation,emitter,output_distribution_fakeout
q3g3_s5_00351,S5_asymmetric_neighbor_dependent,regular_life_like_discovery,emitter,self_persistence_fakeout
q3g3_s6_00058,S6_relation_rich_nonchaotic_bias,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s6_00123,S6_relation_rich_nonchaotic_bias,local_phase_or_self_fakeout,travelling_identity,self_persistence_fakeout
q3g3_s6_00140,S6_relation_rich_nonchaotic_bias,local_phase_or_self_fakeout,emitter,output_distribution_fakeout
q3g3_s6_00149,S6_relation_rich_nonchaotic_bias,composition_without_validation,emitter,self_persistence_fakeout
q3g3_s6_00302,S6_relation_rich_nonchaotic_bias,composition_without_validation,interaction_product,generic_persistence
q3g3_s6_00313,S6_relation_rich_nonchaotic_bias,local_phase_or_self_fakeout,emitter,output_distribution_fakeout
q3g3_s6_00356,S6_relation_rich_nonchaotic_bias,composition_without_validation,emitter,generic_persistence
q3g3_s6_00364,S6_relation_rich_nonchaotic_bias,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s7_00001,S7_symmetric_control,chaotic_discovery,emitter,symmetric_fakeout
q3g3_s7_00003,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00004,S7_symmetric_control,local_phase_or_self_fakeout,travelling_identity,symmetric_fakeout
q3g3_s7_00005,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00006,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00008,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00010,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00011,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00013,S7_symmetric_control,symmetric_control_fakeout,emitter,symmetric_fakeout
q3g3_s7_00014,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00015,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00016,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00017,S7_symmetric_control,fragile_or_inconclusive,travelling_identity,symmetric_fakeout
q3g3_s7_00018,S7_symmetric_control,local_phase_or_self_fakeout,travelling_identity,symmetric_fakeout
q3g3_s7_00019,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00024,S7_symmetric_control,regular_life_like_discovery,localized_oscillator,symmetric_fakeout
q3g3_s7_00025,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00026,S7_symmetric_control,chaotic_discovery,emitter,symmetric_fakeout
q3g3_s7_00027,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00028,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00030,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00032,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00033,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00034,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00036,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00039,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00040,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00041,S7_symmetric_control,local_phase_or_self_fakeout,domain_wall,symmetric_fakeout
q3g3_s7_00043,S7_symmetric_control,fragile_or_inconclusive,travelling_identity,symmetric_fakeout
q3g3_s7_00044,S7_symmetric_control,local_phase_or_self_fakeout,travelling_identity,symmetric_fakeout
q3g3_s7_00045,S7_symmetric_control,near_validation_pra,domain_wall,symmetric_fakeout
q3g3_s7_00048,S7_symmetric_control,chaotic_discovery,emitter,symmetric_fakeout
q3g3_s7_00049,S7_symmetric_control,fragile_or_inconclusive,localized_oscillator,symmetric_fakeout
q3g3_s7_00052,S7_symmetric_control,local_phase_or_self_fakeout,localized_oscillator,symmetric_fakeout
q3g3_s7_00054,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00056,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00059,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00060,S7_symmetric_control,local_phase_or_self_fakeout,localized_oscillator,symmetric_fakeout
q3g3_s7_00061,S7_symmetric_control,near_validation_pra,emitter,symmetric_fakeout
q3g3_s7_00062,S7_symmetric_control,regular_life_like_discovery,localized_oscillator,symmetric_fakeout
q3g3_s7_00064,S7_symmetric_control,fragile_or_inconclusive,localized_oscillator,symmetric_fakeout
q3g3_s7_00065,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00066,S7_symmetric_control,local_phase_or_self_fakeout,travelling_identity,symmetric_fakeout
q3g3_s7_00067,S7_symmetric_control,regular_life_like_discovery,emitter,symmetric_fakeout
q3g3_s7_00068,S7_symmetric_control,fragile_or_inconclusive,travelling_identity,symmetric_fakeout
q3g3_s7_00069,S7_symmetric_control,local_phase_or_self_fakeout,travelling_identity,symmetric_fakeout
q3g3_s7_00071,S7_symmetric_control,regular_life_like_discovery,localized_oscillator,symmetric_fakeout
q3g3_s7_00072,S7_symmetric_control,local_phase_or_self_fakeout,travelling_identity,symmetric_fakeout
q3g3_s7_00073,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00074,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00075,S7_symmetric_control,near_validation_pra,emitter,symmetric_fakeout
q3g3_s7_00076,S7_symmetric_control,near_validation_pra,domain_wall,symmetric_fakeout
q3g3_s7_00078,S7_symmetric_control,fragile_or_inconclusive,localized_oscillator,symmetric_fakeout
q3g3_s7_00079,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00082,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00083,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00084,S7_symmetric_control,local_phase_or_self_fakeout,domain_wall,symmetric_fakeout
q3g3_s7_00086,S7_symmetric_control,fragile_or_inconclusive,emitter,symmetric_fakeout
q3g3_s7_00087,S7_symmetric_control,local_phase_or_self_fakeout,travelling_identity,symmetric_fakeout
q3g3_s7_00088,S7_symmetric_control,fragile_or_inconclusive,travelling_identity,symmetric_fakeout
q3g3_s7_00089,S7_symmetric_control,fragile_or_inconclusive,domain_wall,symmetric_fakeout
q3g3_s7_00091,S7_symmetric_control,fragile_or_inconclusive,travelling_identity,symmetric_fakeout
q3g3_s7_00092,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00093,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00094,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00098,S7_symmetric_control,local_phase_or_self_fakeout,travelling_identity,symmetric_fakeout
q3g3_s7_00099,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00100,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00101,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00104,S7_symmetric_control,chaotic_discovery,emitter,symmetric_fakeout
q3g3_s7_00106,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00107,S7_symmetric_control,chaotic_discovery,emitter,symmetric_fakeout
q3g3_s7_00110,S7_symmetric_control,regular_life_like_discovery,localized_oscillator,symmetric_fakeout
q3g3_s7_00112,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00113,S7_symmetric_control,fragile_or_inconclusive,localized_oscillator,symmetric_fakeout
q3g3_s7_00114,S7_symmetric_control,chaotic_discovery,emitter,symmetric_fakeout
q3g3_s7_00115,S7_symmetric_control,chaotic_discovery,emitter,symmetric_fakeout
q3g3_s7_00116,S7_symmetric_control,regular_life_like_discovery,emitter,symmetric_fakeout
q3g3_s7_00121,S7_symmetric_control,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s7_00123,S7_symmetric_control,fragile_or_inconclusive,domain_wall,symmetric_fakeout
q3g3_s7_00124,S7_symmetric_control,fragile_or_inconclusive,travelling_identity,symmetric_fakeout
q3g3_s8_00004,S8_self_only_control,composition_without_validation,domain_wall,self_persistence_fakeout
q3g3_s8_00012,S8_self_only_control,fragile_or_inconclusive,domain_wall,self_persistence_fakeout
q3g3_s8_00018,S8_self_only_control,local_phase_or_self_fakeout,localized_oscillator,self_persistence_fakeout
q3g3_s8_00036,S8_self_only_control,regular_life_like_discovery,interaction_product,self_persistence_fakeout
q3g3_s8_00044,S8_self_only_control,fragile_or_inconclusive,domain_wall,self_persistence_fakeout
q3g3_s8_00048,S8_self_only_control,composition_without_validation,emitter,self_persistence_fakeout
q3g3_s8_00060,S8_self_only_control,fragile_or_inconclusive,domain_wall,self_persistence_fakeout
q3g3_s8_00063,S8_self_only_control,composition_without_validation,domain_wall,self_persistence_fakeout
q3g3_s8_00070,S8_self_only_control,composition_without_validation,domain_wall,self_persistence_fakeout
q3g3_s8_00077,S8_self_only_control,composition_without_validation,domain_wall,self_persistence_fakeout
q3g3_s8_00084,S8_self_only_control,regular_life_like_discovery,phase_cycle,self_persistence_fakeout
q3g3_s8_00086,S8_self_only_control,composition_without_validation,localized_oscillator,self_persistence_fakeout
q3g3_s8_00090,S8_self_only_control,composition_without_validation,localized_oscillator,self_persistence_fakeout
q3g3_s8_00099,S8_self_only_control,fragile_or_inconclusive,domain_wall,self_persistence_fakeout
q3g3_s8_00102,S8_self_only_control,composition_without_validation,domain_wall,self_persistence_fakeout
q3g3_s8_00103,S8_self_only_control,fragile_or_inconclusive,domain_wall,self_persistence_fakeout
q3g3_s8_00111,S8_self_only_control,local_phase_or_self_fakeout,domain_wall,self_persistence_fakeout
q3g3_s8_00113,S8_self_only_control,composition_without_validation,interaction_product,self_persistence_fakeout
q3r1_s1_0002,S1_random_unbiased,validation_new_motif_overlap,interaction_product,control_adjusted_positive
q3r1_s2_0046,S2_quiescent_preserving,near_validation_pra,emitter,emission_only
q3r1_s3_0020,S3_sparse_active_preserving,near_validation_pra,emitter,emission_only
q3r1_s4_0014,S4_neighbor_dependent,fragile_or_inconclusive,travelling_identity,generic_persistence
q3r1_s5_0016,S5_asymmetric_neighbor_dependent,fragile_or_inconclusive,emitter,generic_persistence
q3r1_s7_0002,S7_symmetric_control,local_phase_or_self_fakeout,travelling_identity,output_distribution_fakeout
