candidate,candidate_category,family,heldout_l1_loss,heldout_nll,heldout_predictive_quality,mc_fallback_used,pair_id,raw_count,test_records,train_records,truncated,variant,world_seed
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
checkerboard,ADVERSARIAL,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
trap_mixing_adversarial,ADVERSARIAL,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
viability_signature,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
behavioral_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
behavioral_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
behavioral_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
behavioral_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
predictive_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
predictive_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
predictive_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
predictive_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
identity,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
all_one,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
random_k,ADVERSARIAL,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
hash_k34_s1206,ADVERSARIAL,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
checkerboard,ADVERSARIAL,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
trap_mixing_adversarial,ADVERSARIAL,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
viability_signature,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
behavioral_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
behavioral_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
behavioral_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
behavioral_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
predictive_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
predictive_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
predictive_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
predictive_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5249,0,0,0,reversible,5
identity,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
all_one,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
random_k,ADVERSARIAL,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
hash_k34_s1206,ADVERSARIAL,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
checkerboard,ADVERSARIAL,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
trap_mixing_adversarial,ADVERSARIAL,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
viability_signature,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
behavioral_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
behavioral_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
behavioral_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
behavioral_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
predictive_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
predictive_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
predictive_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
predictive_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5249,0,0,0,reversible,3
identity,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
all_one,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
random_k,ADVERSARIAL,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
hash_k34_s1206,ADVERSARIAL,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
checkerboard,ADVERSARIAL,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
trap_mixing_adversarial,ADVERSARIAL,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
viability_signature,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
behavioral_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
behavioral_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
behavioral_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
behavioral_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
predictive_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
predictive_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
predictive_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
predictive_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5249,0,0,0,reversible,7
identity,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
all_one,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
random_k,ADVERSARIAL,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
hash_k34_s1206,ADVERSARIAL,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
checkerboard,ADVERSARIAL,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
trap_mixing_adversarial,ADVERSARIAL,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
viability_signature,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
behavioral_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
behavioral_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
behavioral_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
behavioral_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
predictive_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
predictive_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
predictive_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
predictive_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,3,5337,0,0,0,irreversible,3
identity,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
all_one,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
random_k,ADVERSARIAL,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
hash_k34_s1206,ADVERSARIAL,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
checkerboard,ADVERSARIAL,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
trap_mixing_adversarial,ADVERSARIAL,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
viability_signature,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
behavioral_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
behavioral_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
behavioral_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
behavioral_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
predictive_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
predictive_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
predictive_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
predictive_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,7,5337,0,0,0,irreversible,7
identity,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
all_one,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
random_k,ADVERSARIAL,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
hash_k34_s1206,ADVERSARIAL,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
checkerboard,ADVERSARIAL,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
trap_mixing_adversarial,ADVERSARIAL,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
viability_signature,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
behavioral_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
behavioral_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
behavioral_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
behavioral_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
predictive_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
predictive_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
predictive_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
predictive_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,5,5337,0,0,0,irreversible,5
identity,DIAGNOSTIC_ONLY,A,0.13401865600609172,2.271522283670184,0.30566809982970433,0,6,697,103,153,0,irreversible,6
all_one,DIAGNOSTIC_ONLY,A,0.0,0.0,1.0,0,6,697,103,153,0,irreversible,6
random_k,ADVERSARIAL,A,0.11022272986864648,1.557820851860973,0.3909577949028127,0,6,697,103,153,0,irreversible,6
hash_k34_s1206,ADVERSARIAL,A,0.19760137064534547,2.3626340696010417,0.29738591214554744,0,6,697,103,153,0,irreversible,6
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,0.06567675613934895,1.0983076171358348,0.47657454599768745,0,6,697,103,153,0,irreversible,6
checkerboard,ADVERSARIAL,A,0.0,0.0,1.0,0,6,697,103,153,0,irreversible,6
trap_mixing_adversarial,ADVERSARIAL,A,0.0,0.0,1.0,0,6,697,103,153,0,irreversible,6
viability_signature,THEORY_INFORMED,A,0.15679928929500606,1.7009556472846161,0.37023932658995784,0,6,697,103,153,0,irreversible,6
behavioral_quotient_k5,THEORY_INFORMED,A,0.06605749095754807,1.4622459248672646,0.4061332744631949,0,6,697,103,153,0,irreversible,6
behavioral_quotient_k8,THEORY_INFORMED,A,0.15838568437083567,1.9442768698253636,0.3396419712590799,0,6,697,103,153,0,irreversible,6
behavioral_quotient_k13,THEORY_INFORMED,A,0.04746494066882418,0.6976272328668374,0.5890574683532074,0,6,697,103,153,0,irreversible,6
behavioral_quotient_k21,THEORY_INFORMED,A,0.0,0.0,1.0,0,6,697,103,153,0,irreversible,6
predictive_quotient_k5,THEORY_INFORMED,A,0.0,0.0,1.0,0,6,697,103,153,0,irreversible,6
predictive_quotient_k8,THEORY_INFORMED,A,0.0,0.0,1.0,0,6,697,103,153,0,irreversible,6
predictive_quotient_k13,THEORY_INFORMED,A,0.0,0.0,1.0,0,6,697,103,153,0,irreversible,6
predictive_quotient_k21,THEORY_INFORMED,A,0.0,0.0,1.0,0,6,697,103,153,0,irreversible,6
identity,DIAGNOSTIC_ONLY,A,0.8286711318736956,9.969944330735537,0.09115816542461432,0,8,749,109,163,0,reversible,8
all_one,DIAGNOSTIC_ONLY,A,0.0,0.0,1.0,0,8,749,109,163,0,reversible,8
random_k,ADVERSARIAL,A,0.7030449710136749,8.726194789287385,0.10281513188502238,0,8,749,109,163,0,reversible,8
hash_k34_s1206,ADVERSARIAL,A,0.8345246805876033,9.813747652855048,0.09247487846972088,0,8,749,109,163,0,reversible,8
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,0.12928462880621377,1.7511492558602773,0.3634844594017865,0,8,749,109,163,0,reversible,8
checkerboard,ADVERSARIAL,A,0.13035402712894692,2.7550276557568574,0.2663096231706559,0,8,749,109,163,0,reversible,8
trap_mixing_adversarial,ADVERSARIAL,A,0.3689987054651883,4.905287971181937,0.16933975191049846,0,8,749,109,163,0,reversible,8
viability_signature,THEORY_INFORMED,A,0.38126864411549505,4.100131115048903,0.19607339055447232,0,8,749,109,163,0,reversible,8
behavioral_quotient_k5,THEORY_INFORMED,A,0.16964034445882817,1.650917250855858,0.37722791976141334,0,8,749,109,163,0,reversible,8
behavioral_quotient_k8,THEORY_INFORMED,A,0.2133168233241403,2.8380452652024255,0.26054929811966615,0,8,749,109,163,0,reversible,8
behavioral_quotient_k13,THEORY_INFORMED,A,0.503742894129566,6.4204818048534795,0.1347621389416971,0,8,749,109,163,0,reversible,8
behavioral_quotient_k21,THEORY_INFORMED,A,0.5958800022513642,7.64087076459666,0.11572907722416079,0,8,749,109,163,0,reversible,8
predictive_quotient_k5,THEORY_INFORMED,A,0.08690268475263127,1.592268322362979,0.38576253521797904,0,8,749,109,163,0,reversible,8
predictive_quotient_k8,THEORY_INFORMED,A,0.26791242190578035,2.9044701112561078,0.25611669996323516,0,8,749,109,163,0,reversible,8
predictive_quotient_k13,THEORY_INFORMED,A,0.49755164068216345,6.07501794260873,0.14134239773125945,0,8,749,109,163,0,reversible,8
predictive_quotient_k21,THEORY_INFORMED,A,0.6046603253222252,7.530527791752376,0.11722604092173948,0,8,749,109,163,0,reversible,8
identity,DIAGNOSTIC_ONLY,A,0.8868126301570297,10.875538214386996,0.08420670978840508,0,6,749,109,163,0,reversible,6
all_one,DIAGNOSTIC_ONLY,A,0.0,0.0,1.0,0,6,749,109,163,0,reversible,6
random_k,ADVERSARIAL,A,0.44256205324477954,5.873696751203463,0.14548212354944487,0,6,749,109,163,0,reversible,6
hash_k34_s1206,ADVERSARIAL,A,0.8223110260595458,9.983228601129955,0.0910479091637153,0,6,749,109,163,0,reversible,6
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,0.1635053751336748,2.269846817737799,0.30582472382967374,0,6,749,109,163,0,reversible,6
checkerboard,ADVERSARIAL,A,0.1460010131142005,2.7774092878107677,0.26473170467041424,0,6,749,109,163,0,reversible,6
trap_mixing_adversarial,ADVERSARIAL,A,0.3106320706928575,4.420754429332759,0.18447616711592854,0,6,749,109,163,0,reversible,6
viability_signature,THEORY_INFORMED,A,0.35999324590532994,4.6909365007709765,0.17571800350689654,0,6,749,109,163,0,reversible,6
behavioral_quotient_k5,THEORY_INFORMED,A,0.1014802724151517,1.7288257665082085,0.36645798800104223,0,6,749,109,163,0,reversible,6
behavioral_quotient_k8,THEORY_INFORMED,A,0.35413969719142224,4.315005675667211,0.18814655355461432,0,6,749,109,163,0,reversible,6
behavioral_quotient_k13,THEORY_INFORMED,A,0.4240445770248211,5.4437089299373564,0.15519012588449144,0,6,749,109,163,0,reversible,6
behavioral_quotient_k21,THEORY_INFORMED,A,0.6325772499577857,8.013340793889093,0.11094665372887984,0,6,749,109,163,0,reversible,6
predictive_quotient_k5,THEORY_INFORMED,A,0.2005403275735915,1.719209644436168,0.367753917777587,0,6,749,109,163,0,reversible,6
predictive_quotient_k8,THEORY_INFORMED,A,0.28006979231158885,3.628751166130434,0.21604099337143345,0,6,749,109,163,0,reversible,6
predictive_quotient_k13,THEORY_INFORMED,A,0.6138909213710808,6.723890016850619,0.12946844113761027,0,6,749,109,163,0,reversible,6
predictive_quotient_k21,THEORY_INFORMED,A,0.5954860133956204,6.943082861339372,0.12589570289732302,0,6,749,109,163,0,reversible,6
identity,DIAGNOSTIC_ONLY,A,0.12088330477822198,2.2360422521902565,0.3090194509429437,0,8,697,103,153,0,irreversible,8
all_one,DIAGNOSTIC_ONLY,A,0.0,0.0,1.0,0,8,697,103,153,0,irreversible,8
random_k,ADVERSARIAL,A,0.1132051526112063,2.0444440721453074,0.3284671934522801,0,8,697,103,153,0,irreversible,8
hash_k34_s1206,ADVERSARIAL,A,0.16574655752268544,2.111287764068809,0.3214103213301758,0,8,697,103,153,0,irreversible,8
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,0.01250079319753791,0.8279798305334618,0.5470519878264568,0,8,697,103,153,0,irreversible,8
checkerboard,ADVERSARIAL,A,0.0,0.0,1.0,0,8,697,103,153,0,irreversible,8
trap_mixing_adversarial,ADVERSARIAL,A,0.0,0.0,1.0,0,8,697,103,153,0,irreversible,8
viability_signature,THEORY_INFORMED,A,0.048036042896122844,1.5648359819599942,0.3898884790425549,0,8,697,103,153,0,irreversible,8
behavioral_quotient_k5,THEORY_INFORMED,A,0.05609492988133763,1.0943219337666923,0.4774815103050915,0,8,697,103,153,0,irreversible,8
behavioral_quotient_k8,THEORY_INFORMED,A,0.0,0.0,1.0,0,8,697,103,153,0,irreversible,8
behavioral_quotient_k13,THEORY_INFORMED,A,0.0,0.0,1.0,0,8,697,103,153,0,irreversible,8
behavioral_quotient_k21,THEORY_INFORMED,A,0.13953931086997903,2.0402638852130512,0.32891881683813884,0,8,697,103,153,0,irreversible,8
predictive_quotient_k5,THEORY_INFORMED,A,0.12329462529348306,1.0990397718987923,0.4764083145958685,0,8,697,103,153,0,irreversible,8
predictive_quotient_k8,THEORY_INFORMED,A,0.0317913573196269,1.0728416697369645,0.4824295143231543,0,8,697,103,153,0,irreversible,8
predictive_quotient_k13,THEORY_INFORMED,A,0.0,0.0,1.0,0,8,697,103,153,0,irreversible,8
predictive_quotient_k21,THEORY_INFORMED,A,0.0,0.0,1.0,0,8,697,103,153,0,irreversible,8
identity,DIAGNOSTIC_ONLY,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
all_one,DIAGNOSTIC_ONLY,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
random_k,ADVERSARIAL,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
hash_k34_s1206,ADVERSARIAL,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
checkerboard,ADVERSARIAL,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
trap_mixing_adversarial,ADVERSARIAL,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
viability_signature,THEORY_INFORMED,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
behavioral_quotient_k5,THEORY_INFORMED,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
behavioral_quotient_k8,THEORY_INFORMED,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
behavioral_quotient_k13,THEORY_INFORMED,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
behavioral_quotient_k21,THEORY_INFORMED,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
predictive_quotient_k5,THEORY_INFORMED,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
predictive_quotient_k8,THEORY_INFORMED,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
predictive_quotient_k13,THEORY_INFORMED,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
predictive_quotient_k21,THEORY_INFORMED,A,0.0,0.0,1.0,0,0,4609,1,1,0,irreversible,0
identity,DIAGNOSTIC_ONLY,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
all_one,DIAGNOSTIC_ONLY,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
random_k,ADVERSARIAL,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
hash_k34_s1206,ADVERSARIAL,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
checkerboard,ADVERSARIAL,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
trap_mixing_adversarial,ADVERSARIAL,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
viability_signature,THEORY_INFORMED,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
behavioral_quotient_k5,THEORY_INFORMED,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
behavioral_quotient_k8,THEORY_INFORMED,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
behavioral_quotient_k13,THEORY_INFORMED,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
behavioral_quotient_k21,THEORY_INFORMED,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
predictive_quotient_k5,THEORY_INFORMED,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
predictive_quotient_k8,THEORY_INFORMED,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
predictive_quotient_k13,THEORY_INFORMED,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
predictive_quotient_k21,THEORY_INFORMED,A,0.0,0.0,1.0,0,2,4609,1,1,0,irreversible,2
identity,DIAGNOSTIC_ONLY,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
all_one,DIAGNOSTIC_ONLY,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
random_k,ADVERSARIAL,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
hash_k34_s1206,ADVERSARIAL,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
checkerboard,ADVERSARIAL,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
trap_mixing_adversarial,ADVERSARIAL,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
viability_signature,THEORY_INFORMED,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
behavioral_quotient_k5,THEORY_INFORMED,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
behavioral_quotient_k8,THEORY_INFORMED,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
behavioral_quotient_k13,THEORY_INFORMED,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
behavioral_quotient_k21,THEORY_INFORMED,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
predictive_quotient_k5,THEORY_INFORMED,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
predictive_quotient_k8,THEORY_INFORMED,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
predictive_quotient_k13,THEORY_INFORMED,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
predictive_quotient_k21,THEORY_INFORMED,A,0.0,0.0,1.0,0,4,4609,1,1,0,irreversible,4
identity,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,0,5337,0,0,0,reversible,0
all_one,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,0,5337,0,0,0,reversible,0
random_k,ADVERSARIAL,A,1.0,inf,0.0,0,0,5337,0,0,0,reversible,0
hash_k34_s1206,ADVERSARIAL,A,1.0,inf,0.0,0,0,5337,0,0,0,reversible,0
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,1.0,inf,0.0,0,0,5337,0,0,0,reversible,0
