variant_id,family,strength_label,strength,noise_multiplier,sink_shift,initial_shift_a,initial_shift_b,dt_multiplier,drift_scale_f,drift_scale_t,center_shift_f,center_shift_t
potential_shape_015,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,1.1,1.1,-0.016184566408848147,0.0566628048112916
potential_shape_016,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,0.95,0.95,0.018683177712989392,-0.02758422813069441
potential_shape_017,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,1.1,-0.05063561654006544,0.013489866501590009
potential_shape_018,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,0.95,1.05,-0.02903221245121333,-0.020221245833600972
potential_shape_019,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,1.1,0.042767858598271785,0.058305310976063604
noise_000,noise,mild,0.05,1.15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_001,noise,moderate,0.1,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_002,noise,mild,0.05,1.15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_003,noise,moderate,0.1,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_004,noise,mild,0.05,0.85,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_005,noise,moderate,0.1,1.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_006,noise,mild,0.05,1.15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_007,noise,moderate,0.1,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_008,noise,mild,0.05,0.85,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_009,noise,moderate,0.1,1.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_010,noise,mild,0.05,1.15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_011,noise,moderate,0.1,1.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_012,noise,mild,0.05,1.15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_013,noise,moderate,0.1,1.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_014,noise,mild,0.05,0.85,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_015,noise,moderate,0.1,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_016,noise,mild,0.05,0.85,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_017,noise,moderate,0.1,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_018,noise,mild,0.05,1.15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_019,noise,moderate,0.1,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
time_discretization_000,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_001,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_002,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_003,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_004,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_005,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_006,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_007,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_008,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_009,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_010,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_011,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_012,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_013,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_014,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_015,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_016,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_017,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_018,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_019,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
